Name;Price;Spread;RollLong;RollShort;PIP;PIPCost;MarginCost;Market;Multiplier;Commission;Symbol
ABEV3;14,67;0,15;0;0;0,01;1;-100;0;100;0,04;ABEV3
AZUL4;12,26;0,06;0;0;0,01;1;-100;0;100;0,04;AZUL4
B3SA3;12,97;0,26;0;0;0,01;1;-100;0;100;0,04;B3SA3
BBAS3;43,35;0,41;0;0;0,01;1;-100;0;100;0,04;BBAS3
BBDC4;15,7;0,27;0;0;0,01;1;-100;0;100;0,04;BBDC4
BBSE3;32,3;0,2;0;0;0,01;1;-100;0;100;0,04;BBSE3
BEEF3;9,45;0,15;0;0;0,01;1;-100;0;100;0,04;BEEF3
BOVA11;105,22;0,91;0;0;0,01;0,01;-100;0;1;0,04;BOVA11
BPAC11;25,65;0,23;0;0;0,01;1;-100;0;100;0,04;BPAC11
BRAP4;73,16;0,01;0;0;0,01;1;-100;0;100;0,04;BRAP4
CYRE3;16,75;0,42;0;0;0,01;1;-100;0;100;0,04;CYRE3
ECOR3;6,7;0,15;0;0;0,01;1;-100;0;100;0,04;ECOR3
EGIE3;43,2;0,3;0;0;0,01;1;-100;0;100;0,04;EGIE3
ELET6;39,95;0,64;0;0;0,01;1;-100;0;100;0,04;ELET6
EMBR3;17,88;0,2;0;0;0,01;1;-100;0;100;0,04;EMBR3
EQTL3;28,91;0,34;0;0;0,01;1;-100;0;100;0,04;EQTL3
GGBR4;23,35;0,14;0;0;0,01;1;-100;0;100;0,04;GGBR4
GOAU4;10,89;0,13;0;0;0,01;1;-100;0;100;0,04;GOAU4
GOLL4;7,5;0,2;0;0;0,01;1;-100;0;100;0,04;GOLL4
IRBR3;36,5;1,28;0;0;0,01;1;-100;0;100;0,04;IRBR3
ITSA4;10,25;0,01;0;0;0,01;1;-100;0;100;0,04;ITSA4
ITUB4;26,99;0,26;0;0;0,01;1;-100;0;100;0,04;ITUB4
JBSS3;16,29;0,19;0;0;0,01;1;-100;0;100;0,04;JBSS3
JHSF3;3,85;0,05;0;0;0,01;1;-100;0;100;0,04;JHSF3
KLBN11;20,9;0,4;0;0;0,01;1;-100;0;100;0,04;KLBN11
LOGN3;48,99;4,39;0;0;0,01;1;-100;0;100;0,04;LOGN3
LREN3;17,32;0,42;0;0;0,01;1;-100;0;100;0,04;LREN3
MGLU3;3,4;0,03;0;0;0,01;1;-100;0;100;0,04;MGLU3
MRFG3;6,28;0,04;0;0;0,01;1;-100;0;100;0,04;MRFG3
MULT3;26,75;0,55;0;0;0,01;1;-100;0;100;0,04;MULT3
NTCO3;13;0,3;0;0;0,01;1;-100;0;100;0,04;NTCO3
PETR4;26,4;0,12;0;0;0,01;1;-100;0;100;0,04;PETR4
QUAL3;4,52;0,15;0;0;0,01;1;-100;0;100;0,04;QUAL3
RADL3;28,35;0,7;0;0;0,01;1;-100;0;100;0,04;RADL3
RAIL3;21;0,4;0;0;0,01;1;-100;0;100;0,04;RAIL3
RENT3;61,9;1,16;0;0;0,01;1;-100;0;100;0,04;RENT3
SAPR11;21,05;0,25;0;0;0,01;1;-100;0;100;0,04;SAPR11
SBSP3;51,45;0,81;0;0;0,01;1;-100;0;100;0,04;SBSP3
SULA11;32,72;0,01;0;0;0,01;1;-100;0;100;0,04;SULA11
TAEE11;37,2;0,4;0;0;0,01;1;-100;0;100;0,04;TAEE11
TGMA3;19,9;1,15;0;0;0,01;1;-100;0;100;0,04;TGMA3
UGPA3;17;0,25;0;0;0,01;1;-100;0;100;0,04;UGPA3
USIM5;7,45;0,04;0;0;0,01;1;-100;0;100;0,04;USIM5
VALE3;67,67;0,18;0;0;0,01;1;-100;0;100;0,04;VALE3
VIVT3;42;0,54;0;0;0,01;1;-100;0;100;0,04;VIVT3
VVAR3;12,41;0,01;0;0;0,01;1;-100;0;100;0,04;VVAR3
WEGE3;39,8;0,4;0;0;0,01;1;-100;0;100;0,04;WEGE3
